Model,MAE,RMSE,R²,MAPE (%),Time (s)
Random Forest,3749.2084835489063,10057.31727518784,0.9860553894386093,7.815720360219869,1.3271069526672363
XGBoost,5237.7939453125,10900.372837660187,0.9836195707321167,13.085000038146973,0.4468841552734375
HOGM-APO,7594.43017578125,15006.898680273684,0.9689527153968811,11.895370483398438,406.72851824760437
MLP,14025.8759765625,26549.984858752745,0.90282142162323,23.84918975830078,12.283588886260986
GCN,15527.921875,28021.716150157543,0.8917490839958191,28.774404525756836,9.179220914840698
Graph-Mamba,15996.1767578125,29324.88799637605,0.881446361541748,22.307119369506836,21.3662052154541
